"UNITID","SGRNT_T","IGRNT_T","LOAN_T","FLOAN_T","SCFA1N","SCFA1P","SCFA11P","SCFA12P","SCFA13P","SCFA14P","SCFY1N","SCFY1P","ANYAIDP","FGRNT_P","FGRNT_A","SGRNT_P","SGRNT_A","IGRNT_P","IGRNT_A","LOAN_P","LOAN_A","UAGRNTT","AGRNT_P","AGRNT_A","PGRNT_P","PGRNT_A","OFGRT_P","OFGRT_A","FLOAN_P","FLOAN_A","OLOAN_P","OLOAN_A","UAGRNTP","UAGRNTA","UPGRNTP","UPGRNTA","UFLOANP","UFLOANA","UAGRNTN","UFLOANT","AGRNT_T","FGRNT_T","PGRNT_T","OFGRT_T","OLOAN_T","AIDFSIP","SCFY11P","SCFY12P","SCFY13P","SCFY14P","GIS4A2","GIS4T12","GIS4A12","GIS4T22","GIS4A22","GIS4T32","GIS4A32","GIS4T42","GIS4A42","GIS4T52","GIS4A52","GRN4A2","GRN4T12","GRN4A12","GRN4T22","GRN4A22","GRN4T32","GRN4A32","GRN4T42","GRN4A42","GRN4T52","GRN4A52"
101189,94300.00,2011924.00,1279208.00,1236684.00,279,11,,,,,,,100,80,3821,67,504,91,7952,78,5841,10435180.00,100,10589,54,4993,30,1075,77,5779,2,8505,53,7650,47,4860,70,8724,1364,15555083.00,2954444.00,848220.00,759000.00,89220.00,42524.00,100,,,,,,,,,,,,,,,,12259,1029295.00,10722,305264.00,8722,416570.00,10414,651030.00,21001,552285.00,14161
101240,124071.00,613902.00,166397.00,0.00,947,19,0,97,3,0,,,84,69,5287,6,2177,19,3392,4,4754,17673738.00,80,5514,68,5126,9,1868,0,,4,4754,70,5005,53,4907,0,,3531,0.00,4185003.00,3447030.00,3295705.00,151325.00,166397.00,80,,,,,5806,2798838.00,6233,722882.00,5277,198051.00,3737,13333.00,3333,0.00,,,,,,,,,,,,
101277,0.00,0.00,258240.00,205106.00,,,,,,,77,58,73,58,4276,0,,0,,56,6006,357017.00,58,4276,58,4276,0,,44,6033,17,4087,66,4104,34,4276,45,6307,87,378423.00,192433.00,192433.00,192433.00,0.00,53134.00,73,,,,,,,,,,,,,,,,4276,145694.00,4553,37593.00,4177,2888.00,1444,2908.00,2908,3350.00,3350
101286,218717.00,629000.00,17327.00,0.00,747,16,0,99,1,0,,,88,65,5316,8,3586,18,4591,1,2888,17230280.00,77,5971,65,5283,4,483,0,,1,2888,71,5093,53,5169,0,,3383,0.00,3415483.00,2567766.00,2551840.00,15926.00,17327.00,77,,,,,6001,2244685.00,6235,501570.00,5901,125674.00,3927,2450.00,1225,0.00,,,,,,,,,,,,
101295,79577.00,589671.00,1470467.00,1470467.00,875,16,0,98,2,0,,,84,61,4944,2,4421,23,2891,36,4728,15834159.00,73,5178,60,4868,3,2947,36,4728,0,,58,5035,46,4945,33,5664,3145,10223419.00,3314073.00,2644825.00,2565246.00,79579.00,0.00,84,,,,,4590,2629275.00,5018,193588.00,4964,99889.00,2561,9270.00,403,5525.00,368,,,,,,,,,,,
101301,0.00,219773.00,0.00,0.00,263,16,0,100,0,0,,,92,86,6006,0,,19,4309,0,,7748255.00,92,6542,86,5474,12,3773,0,,0,,84,5761,72,5428,0,,1345,0.00,1583203.00,1363430.00,1242700.00,120730.00,0.00,92,,,,,6658,1472873.00,6665,23243.00,7748,10158.00,5079,5013.00,5013,0.00,,,,,,,,,,,,
101365,0.00,74983.00,117253.00,117253.00,24,7,,,,,,,92,58,3132,0,,63,4999,79,6171,1133109.00,88,5659,58,3053,42,110,79,6171,0,,71,4409,53,3500,71,7592,257,1935928.00,118830.00,43847.00,42747.00,1100.00,0.00,92,,,,,,,,,,,,,,,,4791,31268.00,3474,17601.00,5867,20546.00,5137,17690.00,5897,13500.00,6750
101435,114893.00,2630077.00,1537784.00,1191702.00,252,22,,,,,,,100,48,4638,58,792,100,10437,79,7728,12573470.00,100,13138,48,4280,16,1200,79,6019,11,12360,92,11718,44,4056,71,7379,1073,6102433.00,3310863.00,565893.00,517895.00,47998.00,346082.00,100,,,,,,,,,,,,,,,,13848,1143727.00,17329,528072.00,13897,398717.00,12460,417499.00,11597,420003.00,11053
101453,0.00,43355.00,10000.00,10000.00,6,10,,,,,,,100,50,5110,0,,100,7226,33,5000,408905.00,100,9781,50,4892,33,328,33,5000,0,,97,7302,57,3407,26,4074,56,61115.00,58685.00,15330.00,14675.00,655.00,0.00,100,,,,,,,,,,,,,,,,10344,9854.00,9854,10132.00,10132,21388.00,10694,0.00,,0.00,
101462,5976.00,31050.00,0.00,0.00,152,15,0,99,1,0,,,92,91,5144,5,854,13,1634,0,,2997491.00,92,5335,86,5282,7,1627,0,,0,,84,3590,60,3720,0,,835,0.00,746921.00,709895.00,691997.00,17898.00,0.00,92,,,,,5556,593065.00,5758,107391.00,5370,18659.00,3110,8700.00,4350,0.00,,,,,,,,,,,,
