"UNITID","EFYTOTLT"
154767,546
154776,513
154794,151
154800,13038
154837,144
154855,1604
154907,3437
154925,2393
154934,2240
154952,4869
154998,2635
155007,482
155025,4276
155052,1331
155061,13964
155070,299
155089,2206
155098,2742
155104,3418
155140,915
155159,107
155177,436
155186,5342
155195,8740
155201,1459
155210,29400
155283,994
155292,8460
155308,90
155317,20943
155335,3846
155353,75
155399,21725
155414,736
155423,2000
155441,76
155450,3114
155487,1292
155496,347
155511,659
155520,1782
155566,2886
155593,1259
155618,870
155627,664
155636,572
155681,6784
155715,1640
155812,998
155830,933
155858,2692
155900,2219
155937,720
155973,743
156082,6711
156107,5473
156125,12788
156134,1287
156189,617
156213,1779
156231,3775
156277,97
156286,2810
156295,1717
156310,471
156338,5352
156356,1168
156365,3930
156392,14174
156408,1382
156417,176
156426,332
156471,1905
156541,3175
156620,16253
156648,9112
156745,1037
156754,73
156790,4395
156842,283
156851,2069
156860,4446
156921,16014
156967,222
157021,1528
157030,81
157058,1950
157076,728
157085,23877
157100,536
157216,2348
157270,593
157289,18219
157304,5850
157331,4530
157377,1163
157386,10959
157401,10225
157438,5922
157447,14417
157465,230
157483,8089
157535,2128
157553,6628
157599,1273
157614,161
157650,224
157669,159
157678,166
157696,127
157711,7943
157739,4144
157748,1118
157757,1329
157766,752
157793,3933
157809,2148
157818,1061
157827,139
157863,976
157951,20547
158088,3123
158246,444
158325,105
158334,36
158343,59
158352,2155
158431,10411
158440,94
158477,535
158538,66
158617,1269
158644,111
158662,23097
158723,317
158778,50
158787,125
158802,1271
158884,4051
159009,4202
159027,55
159197,925
159319,35
159328,138
159373,1043
159382,3768
159391,27720
159407,3225
159416,3466
159513,242
159522,262
159531,66
159568,1010
159601,19
159647,12174
159656,3076
159717,8361
159939,8131
159948,1523
159966,6454
159993,8344
160010,5105
160029,18
160038,10199
160065,1055
160074,1819
160117,121
160126,52
160135,102
160199,112
160320,3891
160409,147
160445,190
160472,49
160481,2971
160524,431
160579,4786
160597,147
160612,16501
160621,6228
160630,2736
160649,4736
160658,17975
160667,4689
160755,8798
160904,2474
160913,3939
160940,1252
160959,413
160977,1903
160995,600
161004,1952
161022,216
161077,3978
161086,2055
161138,4051
161192,3284
161208,74
161217,6193
161226,2027
161235,2032
161244,1007
161253,10277
161299,997
161341,1657
161457,7413
161484,1285
161493,354
161509,450
161518,2740
161527,300
161545,8648
161554,7554
161563,1730
161572,766
161581,597
161615,42
161651,70
161688,3706
161767,20795
161776,511
161800,426
161855,60
161864,7279
161873,3878
162007,4873
162061,528
162104,3110
162122,11307
162168,2889
162210,1485
162283,3166
162335,76
162371,530
162557,8775
162584,5534
162609,901
162654,1791
162681,989
162690,6022
162706,8899
162760,1324
162779,14102
162830,91
162928,8152
162982,184
163028,1032
163046,4128
163107,26
163204,57597
163259,1101
163268,12942
163286,31050
163295,2136
163338,4073
163347,861
163408,242
163426,34403
163453,7041
163462,1949
163532,349
163541,754
163578,1391
163657,18102
163736,1047
163754,144
163815,162
163851,8658
163912,1797
163976,414
164058,731
164076,21337
164155,4535
164173,4147
164216,1482
164270,1813
164313,4277
164368,345
164438,1102
164447,1539
164465,1921
164492,1291
164535,50
164562,2341
164580,2211
164599,83
164614,87
164632,2093
164641,1394
164678,131
164720,2534
164739,4369
164748,6607
164775,2639
164845,349
164872,529
164924,10297
164988,22685
165015,3852
165024,10873
165033,11324
165060,284
165112,17152
165167,1524
165194,5201
165255,220
165264,1140
165334,2508
165529,3186
165556,586
165574,1665
165608,91
165635,300
165644,917
165662,4144
165671,2194
165699,3511
165750,130
165802,3067
165820,4844
165866,5350
165884,930
165936,1798
165981,2811
166009,82
166018,1461
166027,14128
166045,54
166054,99
166124,2759
166133,8243
166391,1878
166407,341
166452,2612
166489,53
166498,176
166513,16166
166586,44
166595,75
166629,25988
166638,16082
166647,7952
166656,4116
166674,2243
166683,4680
166692,1742
166805,122
166823,11079
166850,3522
166869,999
166887,12254
166911,375
166939,2346
166948,1386
166957,5553
166975,187
166984,384
167039,26
167057,412
167224,73
167251,944
167260,1379
167288,1753
167297,164
167312,9831
167321,315
167358,18648
167376,8345
167394,1478
167455,533
167525,7515
167534,11021
167598,1674
167631,3142
167677,55
167729,9084
167738,485
167783,1850
167792,381
167835,2603
167871,155
167899,2214
167905,8550
167987,8292
167996,2532
168005,6154
168032,53
168148,5697
168218,2644
168227,4459
168254,2857
168263,6536
168281,1635
168290,928
168342,2233
168421,4362
168430,6624
168528,1752
168546,1405
168555,50
168573,673
168591,1427
168607,1833
168740,2233
168786,1905
168847,32007
168883,2322
168892,148
169071,34
169080,4200
169187,255
169248,21479
169275,11571
169284,421
169327,542
169363,790
169442,1467
169479,7883
169503,330
169521,12934
169576,108
169655,1017
169716,3004
169734,733
169761,293
169798,20388
169813,21
169910,15785
169947,81
169974,1497
169983,2092
169992,1310
170000,1230
170037,2423
170055,21520
170082,23943
170091,181
170240,19042
170286,1529
170301,3601
170444,7546
170532,1467
170541,12807
170550,6278
170587,2110
170611,198
170620,5377
170639,2559
170657,21387
170675,3066
170736,71
170790,31464
170806,3280
170842,804
170967,1295
170976,29124
171012,169
171100,42452
171128,6035
171137,8088
171146,7948
171155,5796
171225,4260
171234,2211
171261,97
171304,6386
171322,1086
171395,3583
171456,8660
171465,65
171483,4713
171492,4018
171535,32936
171571,19641
171599,1061
171775,85
171881,271
171988,255
171997,351
172015,435
172033,336
172051,9781
172200,18847
172264,3105
172291,4856
172307,3064
172325,1036
172334,2885
172422,524
172440,622
172495,318
172608,1317
172617,20696
172635,25478
172644,20795
172671,1546
172680,80
172699,20265
172802,101
172866,177
172918,3958
172927,89
172954,2781
172963,12211
173045,2837
173063,4138
173115,2011
173124,5905
173142,607
173160,3141
173203,5499
173258,2093
173300,2202
173328,3218
173416,4172
173452,1225
173461,8118
173470,23
173489,197
173559,8422
173629,888
173638,4707
173647,2386
173665,2413
173708,7813
173726,28
173735,1733
173744,750
173799,8093
173805,1630
173887,994
173902,2238
173911,4792
173920,15299
173966,281
173984,1373
173993,1882
174020,10305
174066,44505
174075,3410
174118,218
174127,724
174136,12255
174154,411
174190,193
174233,10374
174251,2020
174279,817
174321,133
174358,6088
174376,10424
174385,332
174394,101
174428,14632
174437,1251
174473,4936
174491,3722
174507,286
174525,122
174570,2547
174604,441
174738,7515
174747,1989
174756,6336
174783,16344
174792,1781
174817,1919
174844,3122
174862,1051
174899,3233
174914,6494
174978,208
175005,3810
175014,6511
175041,9452
175078,8200
175120,634
175157,802
175227,1402
175236,4979
175263,2779
175272,8818
175315,12395
175342,3304
175421,3514
175430,529
175494,122
175519,2952
175528,803
175573,4030
175607,46
175616,3044
175643,3114
175652,7050
175698,51
175722,41
175786,16013
175810,8401
175829,7559
175856,8693
175883,6320
175935,4616
175980,783
176008,3621
176017,20903
176035,2981
176044,2355
176053,3323
176062,76
176071,12539
176080,19030
176169,4357
176178,10733
176239,6011
176318,1005
176336,57
176354,2439
176372,13747
176390,244
176406,934
176479,3464
176628,1668
176664,370
176716,214
176770,999
176789,293
176798,328
176910,283
176947,1133
176965,12928
176983,98
176992,19
177038,88
177056,139
177065,23686
177083,98
177117,328
177135,7109
177144,1153
177214,4633
177250,4265
177287,253
177302,1332
177339,1818
177418,1268
177436,36
177472,18658
177542,1291
177551,1805
177579,613
177588,51
177603,75
177676,6258
177685,102
177719,939
177746,657
177816,51
177870,13
177931,58
177940,3419
177968,9539
177977,1481
177986,96
177995,25521
178004,267
178059,3068
178077,140
178110,189
178183,349
178208,546
178217,5086
178244,4547
178262,126
178305,899
178314,29
178341,6570
178369,2029
178387,6090
178396,29984
178402,13702
178411,7163
178420,17327
178448,7505
178466,137
178484,169
178527,52
178615,6190
178624,6311
178679,737
178697,1577
178721,15066
178767,154
178828,77
178891,2745
178989,317
179043,2226
179052,140
179070,228
179159,14458
179195,59
179229,58
179238,48
179256,198
179265,445
179308,30827
179326,3434
179344,2600
179450,562
179511,470
179539,6832
179548,768
179557,12162
179566,21677
179645,5064
179715,2176
179867,8440
179894,3853
179919,987
179946,1052
179955,1150
179964,1204
179991,42
180054,648
180063,57
180081,1086
180090,144
180106,1515
180151,545
180160,484
180179,5062
180197,3485
180203,372
180212,547
180249,2521
180258,1167
180276,1853
180328,459
180373,776
180391,56
180416,2306
180461,15081
180489,12291
180522,1510
180595,994
180647,1090
180692,1747
180771,37
180814,7814
180832,936
180878,682
180902,9247
180948,2874
180957,168
180984,1964
181002,4586
181020,1078
181093,508
181127,1200
181145,31
181190,355
181215,5598
181242,706
181297,924
181303,25131
181312,5836
181330,1582
181376,146
181394,14621
181400,931
181419,290
181428,1015
181446,3719
181464,21433
181491,6722
181534,2947
181543,39
181604,932
181640,14723
181738,901
181765,563
181783,3328
181792,14
181817,2609
181853,443
181880,341
181941,771
182005,48615
182111,1221
182148,610
182281,27033
182290,19708
182306,4542
182458,553
182500,15582
182564,4970
182634,1231
182652,79
182661,685
182670,4695
182704,122
182722,164
182795,1874
182892,78
182917,89
182953,217
182980,2166
182999,55
183026,72585
183035,52
183044,13852
183062,4529
183071,1038
183080,4518
183099,5729
183105,1434
183114,1733
183123,2312
183132,4736
183141,3230
183150,3135
183202,73
183211,1865
183239,1976
183248,223
183257,2883
183275,88
183488,742
183600,33
183655,8860
183725,835
183743,20115
183789,5677
183804,3235
183822,2185
183859,20133
183877,15183
183910,1733
183938,17288
183974,1751
183983,129
184047,101
184056,641
184092,1104
184180,11308
184205,4325
184278,117
184348,1633
184427,450
184481,14986
184506,175
184603,6528
184612,1937
184694,2678
184746,263
184773,1725
184782,14726
184791,9611
184816,171
184870,656
184959,1251
184968,175
184995,12248
185129,7469
185174,99
185262,13730
185332,652
185396,1732
185466,383
185509,11603
185536,17846
185572,4992
185590,18348
185651,71
185679,446
185721,653
185767,447
185828,8992
185873,13236
185970,299
186016,515
186034,11550
186052,1187
186131,5666
186186,264
186201,6456
186274,305
186283,4520
186335,62
186371,5822
186380,39735
186399,9529
186405,19
186423,60
186432,2825
186469,1616
186584,6349
186593,209
186618,855
186645,11936
186867,3076
186876,8971
186900,85
187000,174
187046,16506
187134,7217
187161,240
187198,15169
187444,11184
187505,1657
187532,37967
187596,2284
187602,88
187620,10867
187639,5426
187648,5781
187666,3785
187745,743
187897,2715
187903,4248
187912,455
187958,3160
187967,1755
187976,1907
187985,23419
187994,3210
188003,3246
188021,1778
188030,14169
188049,3466
188058,1484
188100,10592
188137,7530
188146,980
188182,506
188216,574
188225,2337
188261,1326
188289,108
188304,3263
188340,1938
188429,5391
188438,5061
188517,746
188526,1008
188641,2014
188650,887
188669,107
188678,290
188687,689
188696,311
188854,1829
188890,1986
188915,66
188942,181
188988,427
189088,2135
189097,2669
189219,502
189228,6828
189264,32
189273,45
189282,268
189404,174
189413,1149
189422,791
189459,1714
189468,204
189477,295
189547,9306
189556,603
189565,592
189574,869
189583,1133
189592,781
189705,2966
189714,432
189811,750
189839,6800
189848,1169
189857,539
189954,100
189990,691
190008,60
190044,3352
190053,2110
190071,121
190099,3004
190114,1065
190150,8623
190169,2391
190239,212
190248,1114
190293,164
190309,61
190318,463
190372,942
190415,14606
190442,5261
190451,363
190503,4313
190512,18799
190521,35506
190530,15494
190549,17563
190558,15614
190567,15744
190576,2561
190585,9979
190594,20523
190600,15452
190619,23264
190628,26103
190637,14558
190646,8862
190655,21064
190664,20154
190673,21271
190691,10664
190707,24
190716,2048
190725,2260
190752,50
190761,1677
190840,12039
190956,151
190974,615
190983,1360
191083,22075
191126,11267
191199,9789
191205,731
191241,9785
191287,894
191302,3091
191311,377
191339,8305
191409,86
191515,2036
191533,1459
191597,669
191612,4785
191621,1515
191630,2378
191649,7362
191676,1095
191719,16925
191728,2020
191834,567
191931,3558
191940,82
191959,139
191968,6582
191986,5839
192004,376
192022,5270
192040,158
192110,600
192156,182
192165,148
192192,1995
192271,2099
192323,3118
192439,5210
192448,6762
192484,188
192509,2278
192563,91
192624,156
192688,1197
192703,3675
192712,495
192749,1856
192785,981
192800,56
192819,6112
192864,2098
192925,1841
192961,123
192970,21
193016,9864
193052,264
193061,32
193070,50
193122,172
193186,152
193201,1275
193247,149
193265,111
193283,9007
193292,6448
193308,8654
193326,27586
193353,2393
193399,1706
193478,30035
193584,2172
193609,80
193645,3595
193654,8586
193672,80
193760,750
193858,637
193900,30000
193946,7343
193973,3485
193991,68
194028,2176
194091,4407
194116,513
194161,1822
194189,138
194222,18756
194240,8830
194259,44
194310,10231
194392,913
194435,204
194499,1248
194569,436
194578,4513
194657,164
194666,286
194693,51
194736,160
194763,260
194824,5914
194879,164
194958,1551
195003,15289
195030,6821
195058,9723
195067,947
195128,1768
195164,1684
195173,2740
195191,292
195216,2532
195234,2768
195243,1932
195289,184
195304,1422
195322,8062
195438,138
195474,3246
195526,2798
195544,4656
195702,215
195720,2992
195784,739
195809,17701
195845,580
195933,719
195988,2114
196006,4193
196015,4914
196024,3831
196033,2770
196042,11888
196051,3557
196060,14671
196079,14663
196088,22503
196097,19410
196103,1867
196112,2371
196121,7938
196130,10293
196149,6829
196158,4831
196167,5856
196176,7749
196185,6311
196194,8225
196200,3907
196219,4849
196237,5183
196246,6043
196255,445
196264,17171
196291,1817
196307,247
196389,927
196413,27675
196431,354
196440,13
196477,2850
196565,9660
196583,125
196592,8689
196653,1731
196680,50736
196699,4551
196866,2277
197018,2099
197027,908
197036,4536
197045,3623
197081,337
197133,2625
197142,604
197151,4036
197197,1874
197221,91
197230,581
197285,1426
197294,20828
197337,123
197522,380
197531,807
197601,137
197610,22
197647,99
197674,226
197692,79
197708,2949
197735,634
197744,211
197814,3363
197832,1195
197850,3537
197869,17469
197887,10675
197911,1073
197966,2288
197984,1676
197993,641
198011,2231
198039,2902
198066,759
198084,2208
198109,516
198118,5136
198136,5409
198154,13179
198190,80
198206,2173
198215,1391
198233,6376
198251,6656
198260,29866
