"INSTNM","STABBR","ZIP","LOCALE","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"Bowling Green State University-Firelands","OH","44839-9791",41,3,,,
"Bowling Green State University-Main Campus","OH","43403",31,3,61,57,63
"Bryant & Stratton College-Parma","OH","44130-3151",21,3,0,0,0
"Capital University","OH","43209-2394",21,3,62,58,64
"Case Western Reserve University","OH","44106",11,3,84,79,91
"Cedarville University","OH","45314-0601",31,3,73,72,75
"Central State University","OH","45384-1004",41,3,23,18,28
"The Christ College of Nursing and Health Sciences","OH","45219-2989",11,3,47,50,47
"University of Cincinnati-Main Campus","OH","45221-0063",11,3,72,70,75
"Cincinnati State Technical and Community College","OH","45223-2690",11,3,,,
"University of Cincinnati-Clermont College","OH","45103",21,3,,,
"University of Cincinnati-Blue Ash College","OH","45236-1096",21,3,,,
"Ohio Christian University","OH","43113-9487",32,3,42,33,49
"Clark State College","OH","45501-0570",13,3,,,
"Cleveland Institute of Art","OH","44106-1710",11,3,56,51,59
"Cleveland Institute of Music","OH","44106-1776",11,3,71,60,84
"Cleveland State University","OH","44115-2214",11,3,51,49,52
"Columbus College of Art and Design","OH","43215",11,3,60,51,63
"University of Dayton","OH","45469",12,3,80,78,82
"Defiance College","OH","43512",32,3,50,44,59
"Denison University","OH","43023",23,3,81,79,83
"The University of Findlay","OH","45840-3653",32,3,62,60,63
"Franklin University","OH","43215-5399",11,3,25,20,35
"Gods Bible School and College","OH","45202-6838",11,3,60,43,69
"Good Samaritan College of Nursing and Health Science","OH","45220-2489",11,3,,,
"Heidelberg University","OH","44883-2462",32,3,57,48,71
"Hiram College","OH","44234-0067",31,3,53,42,67
"John Carroll University","OH","44118-4538",21,3,76,69,82
"Kent State University at Ashtabula","OH","44004",32,3,7,6,8
"Kent State University at East Liverpool","OH","43920",31,3,5,8,3
"Kent State University at Stark","OH","44720-7599",21,3,18,15,20
"Kent State University at Trumbull","OH","44483",21,3,13,7,16
"Kent State University at Tuscarawas","OH","44663-9403",32,3,15,14,16
"Kent State University at Salem","OH","44460",41,3,19,10,24
"Kent State University at Kent","OH","44242-0001",21,3,67,60,71
"Kent State University at Geauga","OH","44021",41,3,8,6,10
"Kenyon College","OH","43022",32,3,87,86,88
"Kettering College","OH","45429-1299",13,3,45,33,48
"Lake Erie College","OH","44077-3389",21,3,45,36,57
"Lorain County Community College","OH","44035-1691",13,3,,,
"Lourdes University","OH","43560-2898",21,3,58,53,60
"Malone University","OH","44709-3308",13,3,60,52,65
"Marietta College","OH","45750",31,3,51,47,59
"Mercy College of Ohio","OH","43604-1132",11,3,58,50,59
"Miami University-Hamilton","OH","45011",21,3,17,17,17
"Miami University-Middletown","OH","45042",23,3,18,13,24
"Miami University-Oxford","OH","45056",31,3,83,79,87
"Mount Carmel College of Nursing","OH","43222-1504",11,3,81,67,81
"University of Mount Union","OH","44601-3929",31,3,68,58,80
"Mount Vernon Nazarene University","OH","43050-9500",32,3,59,54,62
"Mount Saint Joseph University","OH","45233-1670",21,3,53,42,67
"Zane State College","OH","43701-2626",32,3,,,
"Muskingum University","OH","43762",32,3,51,44,60
"North Central State College","OH","44901-0698",41,3,,,
"Notre Dame College","OH","44121-4293",21,3,38,34,45
"University of Northwestern Ohio","OH","45805",23,3,39,37,42
"Oberlin College","OH","44074",31,3,82,80,84
"Ohio Dominican University","OH","43219",11,3,54,48,60
"Ohio Northern University","OH","45810-1599",31,3,72,68,81
"Ohio State University-Lima Campus","OH","45804",41,3,14,10,18
"Ohio State University-Mansfield Campus","OH","44906",41,3,7,3,11
"Ohio State University-Marion Campus","OH","43302-5695",32,3,10,3,18
"Ohio State University-Newark Campus","OH","43055",23,3,6,3,9
"Ohio State University-Main Campus","OH","43210",11,3,88,86,90
"Ohio University-Eastern Campus","OH","43950",41,3,16,16,16
"Ohio University-Chillicothe Campus","OH","45601-0629",32,3,14,14,14
"Ohio University-Southern Campus","OH","45638",22,3,15,15,15
"Ohio University-Lancaster Campus","OH","43130-1037",41,3,11,10,13
"Ohio University-Main Campus","OH","45701-2979",32,3,67,62,71
"Ohio University-Zanesville Campus","OH","43701",32,3,18,11,22
"Ohio Wesleyan University","OH","43015-2370",21,3,64,57,72
"Otterbein University","OH","43081",21,3,69,60,75
"Pontifical College Josephinum","OH","43235-1499",11,3,19,19,
"Rabbinical College Telshe","OH","44092",21,3,63,63,
"University of Rio Grande","OH","45674",42,3,25,18,30
"The Modern College of Design","OH","45440",13,3,,,
"Shawnee State University","OH","45662",31,3,49,44,54
"Sinclair Community College","OH","45402-1460",12,3,,,
"Franciscan University of Steubenville","OH","43952-1763",13,3,72,66,76
"Tiffin University","OH","44883",32,3,45,42,48
"University of Toledo","OH","43606-3390",11,3,56,53,59
"Union Institute & University","OH","45206",11,3,33,100,20
"Ursuline College","OH","44124",21,3,49,50,49
"The North Coast College","OH","44107",21,3,,,
"Walsh University","OH","44720-3396",21,3,69,61,73
"Wilberforce University","OH","45384-1001",41,3,18,15,21
"Wilmington College","OH","45177",32,3,53,49,57
"Wittenberg University","OH","45504",13,3,64,59,69
